id,name,party_before,party_after,rollcall_id,rollcall_date,coalition_start_date,coalition_before,coalition_after,legislature,legislature_year
73653,Welinton Fagundes,PL>PR,PSDB,1883,1999-08-17 17:26:00,1999-01-01,False,True,51,1
73653,Welinton Fagundes,PSDB,PL>PR,876,2002-06-18 19:12:00,2002-03-06,True,False,51,4
73656,Benedito Domingos,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73658,Jofran Frejat,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73660,Osório Adriano,PFL>DEM,PFL>DEM,580,2002-03-19 20:38:00,2002-03-06,True,False,51,4
73661,Wigberto Tartuce,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73663,Barbosa Neto,PMDB,PSB,1351,2003-10-15 17:58:00,2003-01-01,False,True,52,1
73664,João Natal,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73666,Jovair Arantes,PSDB,PTB,871,2003-08-12 11:59:00,2003-01-01,False,True,52,1
73666,Jovair Arantes,PTB,PTB,1201,2009-09-30 17:25:00,2009-09-28,True,False,53,3
73668,Marconi Perillo,PDS>PP,PSDB,1727,1995-10-18 17:38:00,1995-01-01,False,True,50,1
73669,Maria Valadão,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73669,Maria Valadão,PDS>PP,PFL>DEM,1984,1996-01-17 16:50:00,1995-01-01,False,True,50,2
73671,Pedrinho Abrão,PTR,PTB,118,1993-01-20 20:32:00,1992-10-01,False,True,49,3
73671,Pedrinho Abrão,PTB,PTB,1361,1994-03-17 13:31:00,1994-01-25,True,False,49,4
73672,Pedro Canedo,PL>PR,PSDB,2043,1999-02-24 17:53:00,1999-01-01,False,True,51,1
73672,Pedro Canedo,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
73674,Roberto Balestra,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73674,Roberto Balestra,PDS>PP,PDS>PP,1704,2006-02-08 18:27:00,2005-07-23,False,True,52,4
73677,Vilmar Rocha,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73678,Zé Gomes da Rocha,PJ>PTC,PJ>PTC,553,1992-11-04 19:08:00,1992-10-01,True,False,49,2
73678,Zé Gomes da Rocha,PSD,PMDB,2043,1999-02-24 17:53:00,1999-01-01,False,True,51,1
73681,Ariston Andrade,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73682,João Dado,PMDB,PDT,71,2001-10-23 18:03:00,1999-01-01,True,False,51,3
73682,João Dado,PDT,PDT,613,2007-04-02 19:17:00,2007-04-02,False,True,53,1
73682,João Dado,PDT,SD,1301,2013-10-01 18:08:00,2012-03-02,True,False,54,3
73685,Divaldo Suruagy,PMDB,PST,1768,2001-03-21 18:22:00,1999-01-01,True,False,51,3
73693,Reinaldo Gripp,PSDB,PL>PR,1079,2001-08-07 18:02:00,1999-01-01,True,False,51,3
73696,Ângela Amin,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73702,Carlos Benevides,PMDB,PMDB,906,1992-12-02 20:17:00,1992-10-01,False,True,49,2
73703,Daniel Silva,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73703,Daniel Silva,PDS>PP,PFL>DEM,244,1993-01-12 19:02:00,1992-10-01,False,True,49,3
73703,Daniel Silva,PFL>DEM,PDS>PP,348,1993-09-28 19:20:00,1993-08-31,True,False,49,3
73703,Daniel Silva,PDS>PP,PFL>DEM,537,1994-02-23 12:07:00,1994-01-25,False,True,49,4
73704,Derval de Paiva,PMDB,PMDB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
73704,Derval de Paiva,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73708,Hilário Braun,PMDB,PDS>PP,244,1993-01-12 19:02:00,1992-10-01,True,False,49,3
73708,Hilário Braun,PDS>PP,PMDB,348,1993-09-28 19:20:00,1993-08-31,False,True,49,3
73717,Luiz Pontes,PSDB,PSDB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
73718,Sigmaringa Seixas,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73719,Marco Penaforte,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73721,Clóvis Assis,PDT,PSDB,244,1993-01-12 19:02:00,1992-10-01,False,True,49,3
73726,Edison Fidelis,PTB,PTB,1574,1992-04-29 21:46:00,1992-04-15,False,True,49,2
73726,Edison Fidelis,PTB,PDS>PP,118,1993-01-20 20:32:00,1992-10-01,True,False,49,3
73730,Fábio Meirelles,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
