id,id_sessao,proposicao_id,data,resumo,obj_votacao
1439,5211,600363,2014-04-01 18:14:00,Rejeitado o Requerimento. Sim: 19; não: 253; abstenção: 3; total: 275.,REQ. DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
1440,5212,600363,2014-04-01 20:59:00,"Aprovada a Medida Provisória nº 627 de 2013, na forma do Projeto de Lei de Conversão nº 2/2014, ressalvados os destaques. Sim: 331; não: 36; abstenção: 3; total: 370.",PROJETO DE LEI DE CONVERSÃO
1441,5213,600363,2014-04-02 16:27:00,Aprovado o Requerimento. Sim: 229; não: 77; total: 306.,REQ. PARA VOTAÇÃO EM GLOBO DOS DESTAQUES SIMPLES
1442,5213,600363,2014-04-02 16:27:00,Aprovada a Emenda Aglutinativa nº 1. Sim: 185; não: 128; total: 313.,REQ. PARA VOTAÇÃO EM GLOBO DOS DESTAQUES SIMPLES
1443,5213,600363,2014-04-02 18:11:00,,DVS - PSC - EMENDA AGLUTINATIVA Nº 1
1444,5214,600363,2014-04-02 19:36:00,Mantido o artigo destacado. Sim: 184; não: 175; abstenções: 3; total: 362 .,DVS - DEM - ART. 103 DO PLV
210,5219,602714,2014-04-07 20:54:00,"Prejudicado o Requerimento por falta de ""quorum"" (obstrução). Sim: 6; não: 193; total: 199.",REQ. DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
211,5220,602714,2014-04-08 18:01:00,Rejeitado o Requerimento. Sim: 26; não: 244; abstenções: 4; total: 274.,REQ. DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
212,5220,602714,2014-04-08 20:07:00,Rejeitado o Requerimento. Sim: 4; não: 270; abstenção: 1; total: 275.,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES
922,5222,605324,2014-04-09 19:16:00,Rejeitado o destaque (mantido o texto do Projeto de Lei de Conversão nº 1/2014). Sim: 166; não: 168; total: 334.,DVS - DEM - ART. 1º DA MP P/ SUBSTITUIR O ART. 1º DO PLV
923,5223,605324,2014-04-09 19:57:00,Mantido o artigo destacado. Sim: 204; não: 137; total: 341.,DVS - PSDB - ART. 1º  DA LEI 12.462/2011
2111,5223,583317,2014-04-09 21:39:00,"Prejudicada a votação por falta de ""quorum"" (obstrução). Sim: 17; não: 176; abstenção: 2; total: 195.
DCD de 10/04/14 PÁG 259 COL 01.",URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4471/2012
1918,5232,586949,2014-04-22 18:23:00,Aprovado o Requerimento de Urgência (Art. 155 do RICD).Sim: 307; não: 16; abstenção: 3; total: 326.,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5.943/2013
31,5232,597748,2014-04-22 19:21:00,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 310; não: 3; total: 313.,URGÊNCIA PARA APRECIAÇÃO DO PLP Nº 276/2002
145,5233,325847,2014-04-22 20:48:00,"Aprovado o Substitutivo do Senado Federal ao Projeto de Lei Complementar nº 362 de 2006, ressalvados os destaques. Sim: 304; total: 304.",SUBSTITUTIVO DO SENADO FEDERAL
146,5233,325847,2014-04-22 21:07:00,"Votação do § 3º do artigo 7º da Lei Complementar nº 93/98, constante do artigo 1º do Substitutivo do Senado Federal, objeto do destaque para votação em separado da bancada do PT.",DVS - PT - § 3º DO ART. 7º - ART. 1º DO SUBSTITUTIVO
147,5233,325847,2014-04-22 21:17:00,"Votação do artigo 2º do Substitutivo do Senado Federal, objeto do destaque para votação em separado da bancada do PT.",DVS - PT - ART. 2º DO SUBSTITUTIVO DO SENADO FEDERAL
817,5233,43617,2014-04-22 21:36:00,Aprovado o Projeto de Lei Complementar nº 275 de 2001. Sim: 343; não: 13; abstenção: 2; total: 358.,PROJETO DE LEI COMPLEMENTAR
878,5234,44196,2014-04-23 17:37:00,Aprovada a Emenda Substitutiva Global de Plenário nº 3 ao Projeto de Lei Complementar nº 276 de 2002. Sim: 270; não: 1; total: 271.,EMENDA SUBSTITUTIVA GLOBAL  DE PLENÁRIO Nº 3
1736,5236,564547,2014-04-23 18:51:00,"Aprovado o Parecer do Conselho de Ética e Decoro Parlamentar, que conclui pela procedência parcial, com a aplicação de pena de suspensão por 90 (noventa) dias do exercício do mandato do Deputado Carlos Alberto Leréia. Sim: 353; não: 26; total: 379.",PARECER DO CONSELHO DE ÉTICA
